"","seed","graph","dim","method","selector","elapsed_time_model","total_ram_model","peak_ram_model","elapsed_time_best","total_ram_best","peak_ram_best","f1","precision","recall","hamming_dist","best"
"471",23,"MB",250,"mb","stars",0.623999999999999,1.2,39.7,9.461,1.7,38.5,0.4920049200492,0.347523892267593,0.842105263157895,1652,0
"481",23,"MB",500,"mb","stars",1.132,3,47,20.723,3.2,60.1,0.365212821860221,0.237039563437926,0.795194508009153,4832,0
"491",23,"MB",750,"mb","stars",2.089,4.9,93.8,38.273,2.2,89.1,0.176603119584055,0.098970473970474,0.819131832797428,19004,0
"501",23,"MB",1000,"mb","stars",3.398,7.2,79.4,65.368,1.8,133.4,0.150271277470269,0.0826850009046499,0.822929171668667,31010,0
"113",51,"hub",100,"glasso","stars",0.409,1.6,2,6.85,0.600000000000001,11,0.620689655172414,0.487951807228916,0.852631578947368,198,0
"211",51,"hub",250,"glasso","stars",0.943,9.6,11,20.066,0.700000000000003,58,0.51063829787234,0.372815533980583,0.810126582278481,736,0
"312",51,"hub",500,"glasso","stars",4.505,38.1,43.8,101.993,-2.8,158.2,0.478938257357184,0.329888712241653,0.873684210526316,1806,0
"412",51,"hub",750,"glasso","stars",18.766,85.8,98.7,411.119,-29.2,242.4,0.146812900423499,0.0795574908791338,0.949438202247191,15714,0
"511",51,"hub",1000,"glasso","stars",59.335,152.6,175.5,1494.959,-74.7,553.3,0.11971971971972,0.0639116494478091,0.94421052631579,26382,0
"610",51,"hub",100,"mb","stars",0.583,0.599999999999998,10.3,7.078,0.5,9.7,0.680851063829787,0.571428571428571,0.842105263157895,150,0
"710",51,"hub",250,"mb","stars",0.699999999999999,1.3,38.8,10.738,1.6,37.9,0.307352941176471,0.186108637577916,0.881856540084388,1884,0
"810",51,"hub",500,"mb","stars",1.302,3,45.1,23.826,3.2,58.2,0.26209798617373,0.152875175315568,0.917894736842105,4910,0
"910",51,"hub",750,"mb","stars",2.34800000000001,4.9,66.5,44.478,2.3,112.5,0.116174526223006,0.0619768644785103,0.925561797752809,20054,0
"1010",51,"hub",1000,"mb","stars",3.702,7,99.4,73.672,1,165.9,0.104418155480444,0.0553848123959534,0.910526315789474,29676,0
"114",51,"cluster",100,"glasso","stars",0.585,1.6,2,8.165,0.600000000000001,11.1,0.539553752535497,0.607305936073059,0.485401459854015,454,0
"127",51,"cluster",250,"glasso","stars",0.955,9.6,11,21.889,0.5,58,0.431200701139351,0.526766595289079,0.364985163204748,1298,0
"1311",51,"cluster",500,"glasso","stars",5.101,38.1,43.8,126.603,-2.2,158.3,0.320944972630366,0.276152702032722,0.383081155433287,4714,0
"142",51,"cluster",750,"glasso","stars",22.209,85.8,98.7,517.443,-28.7,324.7,0.298053255761915,0.288561525129983,0.308190652475706,6274,0
"152",51,"cluster",1000,"glasso","stars",53.633,152.5,175.4,1155.871,-79.5,409.5,0.224780369584974,0.158841158841159,0.384323204419889,15354,0
"162",51,"cluster",100,"mb","stars",0.491,0.599999999999998,10.2,6.163,0.5,9.6,0.543820224719101,0.707602339181287,0.441605839416058,406,0
"172",51,"cluster",250,"mb","stars",0.603,1.2,39.2,9.126,1.5,38,0.414707655213984,0.349238578680203,0.510385756676558,1942,0
"182",51,"cluster",500,"mb","stars",1.287,3.4,45.3,23.634,4.1,77.3,0.25544373284538,0.174021441037148,0.480055020632737,8138,0
"192",51,"cluster",750,"mb","stars",2.117,5.2,65.5,40.508,1.6,111.2,0.155540868032606,0.0924406424581006,0.490050902360019,22998,0
"202",51,"cluster",1000,"mb","stars",2.78399999999999,6.2,132.2,51.95,-1.8,166.1,0.124183282046959,0.0707255005521679,0.508632596685083,41554,0
"212",51,"band",100,"glasso","stars",0.382,1.6,2,6.406,0.5,10.7,0.603658536585366,0.432314410480349,1,260,0
"221",51,"band",250,"glasso","stars",0.779,9.5,10.9,16.107,0.399999999999999,58.2,0.507739938080495,0.341666666666667,0.987951807228916,954,0
"231",51,"band",500,"glasso","stars",3.959,38.1,43.8,114.709,-3.39999999999999,157.8,0.293751850755108,0.172341904100069,0.993987975951904,4770,0
"241",51,"band",750,"glasso","stars",18.739,85.9,98.7,418.117,-29.8,243.4,0.238873604143065,0.135911602209945,0.985313751668892,9406,0
"251",51,"band",1000,"glasso","stars",56.2570000000001,152.6,175.5,1110.866,-76.9,412,0.237081339712919,0.134628447221845,0.991991991991992,12756,0
"262",51,"band",100,"mb","stars",0.482,0.5,10.9,6.12,0.5,10.3,0.761538461538462,0.614906832298137,1,124,0
"272",51,"band",250,"mb","stars",0.552,0.899999999999999,39.3,8.007,1.2,38.4,0.357348703170029,0.217734855136084,0.995983935742972,1784,0
"282",51,"band",500,"mb","stars",0.952000000000002,2.5,46,16.881,3.3,59.6,0.21875,0.122867737948084,0.995991983967936,7100,0
"292",51,"band",750,"mb","stars",1.592,4.2,67.9,30.602,2.2,114.6,0.187808896210873,0.103752450294035,0.98931909212283,12818,0
"302",51,"band",1000,"mb","stars",2.404,5.7,101.6,47.546,0.5,129.3,0.100226187484293,0.0527624894157494,0.997997997997998,35802,0
"313",51,"scale-free",100,"glasso","stars",0.377,1.6,2,6.345,0.5,10.8,0.260869565217391,0.461538461538462,0.181818181818182,204,0
"322",51,"scale-free",250,"glasso","stars",1.178,9.6,11,25.628,1.2,58.1,0.1699604743083,0.167315175097276,0.172690763052209,840,0
"332",51,"scale-free",500,"glasso","stars",6.392,38.1,43.8,140.417,-0.700000000000003,157.9,0.106364428945074,0.0941358024691358,0.122244488977956,2050,0
"342",51,"scale-free",750,"glasso","stars",25.954,85.8,98.7,559.273,-26.6,322.8,0.0650112866817156,0.0491132332878581,0.096128170894526,4142,0
"352",51,"scale-free",1000,"glasso","stars",68.1659999999999,152.6,175.5,1515.449,-73.6,548.8,0.0294831125209927,0.016256816544912,0.158158158158158,20804,0
"361",51,"scale-free",100,"mb","stars",0.491,0.599999999999998,10.6,6.198,0.400000000000002,9.9,0.333333333333333,0.263157894736842,0.454545454545455,360,0
"371",51,"scale-free",250,"mb","stars",0.753,1.7,39.1,12.215,2.4,37.5,0.127062706270627,0.0799584631360332,0.309236947791165,2116,0
"381",51,"scale-free",500,"mb","stars",1.724,4.2,44,31.616,4.3,75.2,0.0635118306351183,0.037596756358275,0.204408817635271,6016,0
"391",51,"scale-free",750,"mb","stars",3.388,6.8,65.2,62.55,3.1,110.4,0.0379192999513855,0.0215787532275913,0.156208277703605,11874,0
"401",51,"scale-free",1000,"mb","stars",5.12100000000001,9,129.5,90.536,-0.0999999999999943,162.2,0.0221490950512593,0.0118219279875701,0.175175175175175,30904,0
"413",51,"MB",100,"glasso","stars",0.517,1.7,2,8.288,0.5,10.6,0.709511568123393,0.734042553191489,0.686567164179104,226,0
"422",51,"MB",250,"glasso","stars",0.986000000000001,9.5,11,20.692,0.600000000000001,58.6,0.592468619246862,0.482288828337875,0.767895878524946,974,0
"432",51,"MB",500,"glasso","stars",6.582,38.2,43.9,95.611,-3.3,120.4,0.304282974643085,0.18608287724785,0.83411214953271,6530,0
"442",51,"MB",750,"glasso","stars",18.16,85.8,98.7,416.707,-28,247.7,0.440267765190525,0.325838414634146,0.678571428571429,4348,0
"452",51,"MB",1000,"glasso","stars",57.159,152.6,175.5,1343.736,-74.9,418.2,0.152021995646695,0.0837964132356656,0.818125770653514,29608,0
"462",51,"MB",100,"mb","stars",0.603,0.599999999999998,10.5,7.467,0.400000000000002,9.9,0.691466083150985,0.6171875,0.786069651741294,282,0
"472",51,"MB",250,"mb","stars",0.734000000000002,1.2,39.6,13.9,1.7,38.6,0.490473263675476,0.342195540308748,0.865509761388286,1658,0
"482",51,"MB",500,"mb","stars",1.356,2.8,47,23.022,2.9,60.4,0.403959171048562,0.274716028607488,0.76285046728972,3854,0
"492",51,"MB",750,"mb","stars",2.432,5.1,94.5,47.907,3.1,89.5,0.172041277007417,0.0957465900933238,0.846825396825397,20540,0
"502",51,"MB",1000,"mb","stars",3.72500000000002,7.2,111,69.039,0.900000000000006,138.1,0.14534948327592,0.0798729848558867,0.806411837237978,30764,0
"115",51,"MB",100,"glasso","ebic",0.389,1.6,2,0.0169999999999999,0,0.5,0.0857142857142857,1,0.0447761194029851,384,0
"213",51,"MB",250,"glasso","ebic",0.965,9.5,11,0,-1.6,0,0.269158878504673,0.972972972972973,0.156182212581345,782,0
"314",51,"MB",500,"glasso","ebic",4.032,38.1,40,0,-9.7,0,0.0567536889897843,1,0.0292056074766355,1662,0
"414",51,"MB",750,"glasso","ebic",20.212,85.9,90.2,0,-38.6,0,0.124907063197026,0.988235294117647,0.0666666666666667,2354,0
"512",51,"MB",1000,"glasso","ebic",59.013,152.6,160.2,0,-86.4,0,0.0804257835600237,0.985507246376812,0.0419235511713933,3110,0
"611",23,"MB",100,"glasso","ebic",0.395,1.6,2,0.0170000000000003,0,0.5,0.313253012048193,0.951219512195122,0.1875,342,0
"711",23,"MB",250,"glasso","ebic",0.954000000000001,9.5,11,0,-1.6,0,0.193548387096774,0.980769230769231,0.107368421052632,850,0
"811",23,"MB",500,"glasso","ebic",4.392,38.1,40,0,-9.7,0,0.138445154419595,1,0.074370709382151,1618,0
"911",23,"MB",750,"glasso","ebic",18.034,85.9,90.2,0,-38.6,0,0.0713178294573643,1,0.0369774919614148,2396,0
"1011",23,"MB",1000,"glasso","ebic",60.11,152.6,160.2,0,-86.4,0,0.123804164321891,0.990990990990991,0.0660264105642257,3114,0
"1110",123,"MB",100,"glasso","ebic",0.399,1.6,2,0.0169999999999999,0,0.5,0.323076923076923,0.976744186046512,0.193548387096774,352,0
"128",123,"MB",250,"glasso","ebic",0.943,9.5,11,0,-1.6,0,0.207156308851224,1,0.115546218487395,842,0
"1312",123,"MB",500,"glasso","ebic",4.092,38.1,40,0,-9.7,0,0.0924092409240924,0.976744186046512,0.0484988452655889,1650,0
"143",123,"MB",750,"glasso","ebic",17.36,85.9,90.2,0,-38.6,0,0.0664206642066421,0.978260869565217,0.0343773873185638,2530,0
"153",123,"MB",1000,"glasso","ebic",56.817,152.6,160.2,0,-86.4,0,0.0771028037383178,0.985074626865672,0.0401215805471125,3160,0
"163",42,"MB",100,"glasso","ebic",0.386,1.6,2,0.0169999999999999,0,0.5,0.0938967136150235,0.909090909090909,0.0495049504950495,386,0
"173",42,"MB",250,"glasso","ebic",0.918,9.5,11,0,-1.6,0,0.17658349328215,0.958333333333333,0.0972515856236787,858,0
"183",42,"MB",500,"glasso","ebic",3.84,38.1,41.9,0,-9.7,0,0.0513392857142857,1,0.0263459335624284,1700,0
"193",42,"MB",750,"glasso","ebic",17.783,85.9,90.2,0,-38.6,0,0.0894854586129754,0.983606557377049,0.046875,2442,0
"203",42,"MB",1000,"glasso","ebic",62.478,152.6,160.2,0,-86.4,0,0.154444444444444,0.972027972027972,0.083886541943271,3044,0
"214",51,"hub",100,"glasso","ebic",0.388,1.6,2,0.0170000000000003,0.100000000000001,0.699999999999999,0.155339805825243,1,0.0842105263157895,174,0
"222",51,"hub",250,"glasso","ebic",0.925,9.5,11,0,-1.6,0,0.282608695652174,1,0.164556962025316,396,0
"232",51,"hub",500,"glasso","ebic",4.495,38.1,40.1,0,-9.7,0.0999999999999943,0.255941499085923,0.972222222222222,0.147368421052632,814,0
"242",51,"hub",750,"glasso","ebic",18.76,85.9,90.2,0,-38.5,0,0.19746835443038,1,0.109550561797753,1268,0
"252",51,"hub",1000,"glasso","ebic",59.644,152.6,160.3,0,-86.4,0,0.20226843100189,0.990740740740741,0.112631578947368,1688,0
"263",51,"cluster",100,"glasso","ebic",0.39,1.6,2,0.0180000000000002,0.100000000000001,0.699999999999999,0.116838487972509,1,0.062043795620438,514,0
"273",51,"cluster",250,"glasso","ebic",0.879,9.5,11,0.00100000000000033,-1.6,0,0.0657142857142857,0.884615384615385,0.0341246290801187,1308,0
"283",51,"cluster",500,"glasso","ebic",4.963,38.2,43.9,0,-9.8,0,0.0726072607260726,0.901639344262295,0.0378266850068776,2810,0
"293",51,"cluster",750,"glasso","ebic",18.582,85.8,90.1,0,-38.5,0,0.0450653447498873,0.862068965517241,0.02313743637205,4238,0
"303",51,"cluster",1000,"glasso","ebic",48.025,152.5,160.2,0,-86.4,0,0.00550395596835225,0.727272727272727,0.00276243093922652,5782,0
"315",51,"band",100,"glasso","ebic",0.385,1.6,2,0.0179999999999998,0.100000000000001,0.699999999999999,0.5,1,0.333333333333333,132,0
"323",51,"band",250,"glasso","ebic",0.786,9.5,11,0,-1.6,0,0.306122448979592,1,0.180722891566265,408,0
"333",51,"band",500,"glasso","ebic",3.994,38.1,40.1,0,-9.7,0.0999999999999943,0.433281004709576,1,0.276553106212425,722,0
"343",51,"band",750,"glasso","ebic",16.916,85.9,90.2,0,-38.5,0,0.339246119733925,1,0.204272363150868,1192,0
"353",51,"band",1000,"glasso","ebic",50.658,152.6,160.3,0,-86.4,0,0.259581881533101,1,0.149149149149149,1700,0
"362",51,"scale-free",100,"glasso","ebic",0.382,1.6,1.9,0.0180000000000002,0.100000000000001,0.699999999999999,0.02,1,0.0101010101010101,196,0
"372",51,"scale-free",250,"glasso","ebic",1.177,9.5,11,0,-1.6,0,0.0451127819548872,0.352941176470588,0.0240963855421687,508,0
"382",51,"scale-free",500,"glasso","ebic",6.315,38.1,43.9,0.000999999999999446,-9.7,0.0999999999999943,0.0265151515151515,0.241379310344828,0.0140280561122244,1028,0
"392",51,"scale-free",750,"glasso","ebic",25.378,85.9,90.2,0,-38.5,0,0.04583835946924,0.2375,0.0253671562082777,1582,0
"402",51,"scale-free",1000,"glasso","ebic",71.43,152.6,160.3,0,-86.4,0,0.00827485421737625,0.00417702540225425,0.436436436436436,209015,0
"415",23,"hub",100,"glasso","ebic",0.389,1.6,2,0.0179999999999998,0.100000000000001,0.699999999999999,0.488188976377953,0.96875,0.326315789473684,130,0
"423",23,"hub",250,"glasso","ebic",0.911,9.5,11,0,-1.6,0,0.236162361623616,0.941176470588235,0.135021097046413,414,0
"433",23,"hub",500,"glasso","ebic",4.488,38.1,40.1,0,-9.7,0.0999999999999943,0.243542435424354,0.985074626865672,0.138947368421053,820,0
"443",23,"hub",750,"glasso","ebic",17.525,85.9,90.2,0.000999999999997669,-38.5,0,0.126149802890933,0.979591836734694,0.0674157303370786,1330,0
"453",23,"hub",1000,"glasso","ebic",58.094,152.6,160.3,0,-86.4,0,0.164251207729469,1,0.0894736842105263,1730,0
"463",23,"cluster",100,"glasso","ebic",0.387,1.6,2,0.0179999999999998,0.100000000000001,0.699999999999999,0.108108108108108,0.842105263157895,0.0577617328519856,528,0
"473",23,"cluster",250,"glasso","ebic",0.917,9.5,11,0,-1.6,0,0.0408163265306122,0.882352941176471,0.020891364902507,1410,0
"483",23,"cluster",500,"glasso","ebic",5.252,38.2,43.9,0,-9.8,0,0.0509641873278237,0.86046511627907,0.0262597586941093,2756,0
"493",23,"cluster",750,"glasso","ebic",17.189,85.8,90.1,0,-38.5,0,0.01099404489235,0.8,0.00553505535055351,4318,0
"503",23,"cluster",1000,"glasso","ebic",60.135,152.5,160.2,0,-86.4,0,0.0216404886561955,0.861111111111111,0.0109579356663132,5606,0
"513",23,"band",100,"glasso","ebic",0.38,1.6,2,0.0179999999999998,0.100000000000001,0.699999999999999,0.293103448275862,1,0.171717171717172,164,0
"521",23,"band",250,"glasso","ebic",0.875,9.5,11,0,-1.6,0,0.571428571428571,0.99009900990099,0.401606425702811,300,0
"531",23,"band",500,"glasso","ebic",3.62,38.1,40.1,0,-9.7,0.0999999999999943,0.270363951473137,1,0.156312625250501,842,0
"541",23,"band",750,"glasso","ebic",18.03,85.9,90.2,0,-38.5,0,0.409331919406151,0.994845360824742,0.257676902536716,1114,0
"551",23,"band",1000,"glasso","ebic",50.372,152.6,160.3,0,-86.4,0,0.256544502617801,1,0.147147147147147,1704,0
"561",23,"scale-free",100,"glasso","ebic",0.401,1.6,1.9,0.0179999999999998,0.100000000000001,0.699999999999999,0.362204724409449,0.821428571428571,0.232323232323232,162,0
"571",23,"scale-free",250,"glasso","ebic",1.02,9.5,11,0,-1.6,0,0.062015503875969,0.888888888888889,0.0321285140562249,484,0
"581",23,"scale-free",500,"glasso","ebic",6.074,38.1,43.9,0,-9.7,0.0999999999999943,0.0959409594095941,0.604651162790698,0.0521042084168337,980,0
"591",23,"scale-free",750,"glasso","ebic",20.735,85.9,90.2,0,-38.5,0,0.0288713910761155,0.846153846153846,0.0146862483311081,1480,0
"601",23,"scale-free",1000,"glasso","ebic",69.905,152.6,160.3,0,-86.4,0,0.011469561548199,0.00579025339620632,0.598598598598599,206160,0
"612",123,"hub",100,"glasso","ebic",0.393,1.6,2,0.0179999999999998,0.100000000000001,0.699999999999999,0.303571428571429,1,0.178947368421053,156,0
"621",123,"hub",250,"glasso","ebic",0.907999999999999,9.5,11,0,-1.6,0,0.190114068441065,0.961538461538462,0.105485232067511,426,0
"631",123,"hub",500,"glasso","ebic",4.066,38.1,40.1,0,-9.7,0.0999999999999943,0.140900195694716,1,0.0757894736842105,878,0
"641",123,"hub",750,"glasso","ebic",19.514,85.9,90.2,0,-38.5,0,0.2175,0.988636363636364,0.122191011235955,1252,0
"651",123,"hub",1000,"glasso","ebic",54.455,152.6,160.3,0,-86.4,0,0.0960960960960961,0.979591836734694,0.0505263157894737,1806,0
"66",123,"cluster",100,"glasso","ebic",0.385,1.6,2,0.0180000000000002,0.100000000000001,0.699999999999999,0.0462046204620462,0.777777777777778,0.0238095238095238,578,0
"67",123,"cluster",250,"glasso","ebic",0.843,9.5,11,0,-1.6,0,0.0298913043478261,0.846153846153846,0.0152143845089903,1428,0
"68",123,"cluster",500,"glasso","ebic",5.047,38.2,43.9,0,-9.8,0,0.0553679945982444,0.931818181818182,0.0285316631871955,2798,0
"69",123,"cluster",750,"glasso","ebic",18.733,85.8,90.1,0,-38.5,0,0.0526315789473684,0.880597014925373,0.0271264367816092,4248,0
"70",123,"cluster",1000,"glasso","ebic",68.199,152.5,160.2,0,-86.4,0,0.038994683421943,0.0200566797593596,0.699133448873483,198832,0
"712",123,"band",100,"glasso","ebic",0.384,1.6,2,0.0179999999999998,0.100000000000001,0.699999999999999,0.453125,1,0.292929292929293,140,0
"721",123,"band",250,"glasso","ebic",0.828,9.5,11,0,-1.6,0,0.350993377483444,1,0.21285140562249,392,0
"731",123,"band",500,"glasso","ebic",3.766,38.1,40.1,0,-9.7,0.0999999999999943,0.299829642248722,1,0.176352705410822,822,0
"741",123,"band",750,"glasso","ebic",16.051,85.9,90.2,0,-38.5,0,0.297727272727273,1,0.174899866488652,1236,0
"751",123,"band",1000,"glasso","ebic",52.5,152.6,160.3,0,-86.4,0,0.360951599671862,1,0.22022022022022,1558,0
"761",123,"scale-free",100,"glasso","ebic",0.394,1.6,1.9,0.0180000000000002,0.100000000000001,0.699999999999999,0.163636363636364,0.818181818181818,0.0909090909090909,184,0
"771",123,"scale-free",250,"glasso","ebic",1.126,9.5,11,0,-1.6,0,0.125925925925926,0.80952380952381,0.0682730923694779,472,0
"781",123,"scale-free",500,"glasso","ebic",5.674,38.1,43.9,0,-9.7,0.0999999999999943,0.0537428023032629,0.636363636363636,0.0280561122244489,986,0
"791",123,"scale-free",750,"glasso","ebic",27.146,85.9,90.2,0,-38.5,0,0.0522133938706016,0.174242424242424,0.0307076101468625,1670,0
"801",123,"scale-free",1000,"glasso","ebic",81.214,152.6,160.3,0,-86.4,0,0.00961911121280182,0.00485484942896601,0.515515515515516,212097,0
"81",42,"hub",100,"glasso","ebic",0.393,1.6,2,0.0179999999999998,0.100000000000001,0.699999999999999,0.333333333333333,1,0.2,152,0
"82",42,"hub",250,"glasso","ebic",0.926,9.5,11,0,-1.6,0,0.244444444444444,1,0.139240506329114,408,0
"83",42,"hub",500,"glasso","ebic",4.121,38.1,40.1,0,-9.7,0.0999999999999943,0.107569721115538,1,0.0568421052631579,896,0
"84",42,"hub",750,"glasso","ebic",19.331,85.9,90.2,0,-38.5,0,0.262135922330097,0.964285714285714,0.151685393258427,1216,0
"85",42,"hub",1000,"glasso","ebic",58.644,152.6,160.3,0,-86.4,0,0.18007662835249,1,0.0989473684210526,1712,0
"861",42,"cluster",100,"glasso","ebic",0.394,1.6,2,0.0179999999999998,0.100000000000001,0.699999999999999,0.0836012861736335,0.866666666666667,0.0439189189189189,570,0
"871",42,"cluster",250,"glasso","ebic",0.932,9.5,11,0,-1.6,0,0.0840108401084011,0.911764705882353,0.0440340909090909,1352,0
"881",42,"cluster",500,"glasso","ebic",4.668,38.2,43.9,0,-9.8,0,0.0441075120606478,0.888888888888889,0.0226148409893993,2774,0
"891",42,"cluster",750,"glasso","ebic",19.395,85.8,90.1,0,-38.5,0,0.0586886749197616,0.888888888888889,0.0303461356092935,4106,0
"901",42,"cluster",1000,"glasso","ebic",63.871,152.5,160.2,0,-86.4,0,0.0395095367847411,0.966666666666667,0.0201668984700974,5640,0
"912",42,"band",100,"glasso","ebic",0.386,1.6,2,0.0180000000000002,0.100000000000001,0.699999999999999,0.488549618320611,1,0.323232323232323,134,0
"921",42,"band",250,"glasso","ebic",0.781,9.5,11,0,-1.6,0,0.240282685512368,1,0.136546184738956,430,0
"931",42,"band",500,"glasso","ebic",3.7,38.1,40.1,0,-9.7,0.0999999999999943,0.294017094017094,1,0.172344689378758,826,0
"941",42,"band",750,"glasso","ebic",16.824,85.9,90.2,0.00100000000000122,-38.5,0,0.303510758776897,1,0.17890520694259,1230,0
"951",42,"band",1000,"glasso","ebic",53.832,152.6,160.3,0,-86.4,0,0.446345256609642,1,0.287287287287287,1424,0
"96",42,"scale-free",100,"glasso","ebic",0.397,1.6,1.9,0.0179999999999998,0.100000000000001,0.699999999999999,0.260869565217391,0.9375,0.151515151515152,170,0
"97",42,"scale-free",250,"glasso","ebic",1.134,9.5,11,0,-1.6,0,0.0916030534351145,0.923076923076923,0.0481927710843374,476,0
"98",42,"scale-free",500,"glasso","ebic",7.316,38.1,43.9,0.00100000000000122,-9.7,0.0999999999999943,0.0310679611650485,0.5,0.0160320641282565,998,0
"99",42,"scale-free",750,"glasso","ebic",25.529,85.9,90.2,0,-38.5,0,0.0475594493116396,0.38,0.0253671562082777,1522,0
"100",42,"scale-free",1000,"glasso","ebic",67.429,152.6,160.3,0,-86.4,0,0.0102031976436389,0.00515113227718923,0.530530530530531,205658,0
